id;name;contact_pref;contact_type;contact;ref_table;ref_table_id;company_id;status;last_modified;last_modified_by;contact_reference
1;info-mediaries;Rustic International;transmitting generation Account;Borders;Plaza interactive back;59902;77586;plum withdrawal;2023-06-12T00:24:42;user-facing;driver Bedfordshire deposit
2;extranet Connecticut eyeballs;Rican transparent Plastic;technologies connecting;Pizza turn-key;Rapids capacitor Card;71325;67590;Loan Books;2023-06-12T02:56:24;Refined withdrawal IB;Handmade initiatives
3;Belgium Steel;program deliver Mission;cyan cyan;Alaska;Vermont;98988;51734;compressing Hat invoice;2023-06-12T07:35:22;architect Tuna Guatemala;withdrawal Gorgeous Factors
4;Plastic grow schemas;Sleek Tasty;Mexico Virtual;Metal;Account;76152;55659;systematic applications;2023-06-11T11:12:55;Peso generation;Clothing Tasty
5;ROI methodologies Republic;secondary;Sausages withdrawal;Antillian Synchronised;indigo virtual;33351;10326;Developer Wooden;2023-06-11T21:52:13;responsive Idaho SDR;Dong Health payment
6;Jewelery;Advanced;microchip Hat;dedicated;ivory open-source;81991;77526;Refined compressing Home;2023-06-12T02:08:01;payment Sleek Account;Assistant Rustic
7;Rustic Cotton;well-modulated bypassing;hack Manager;Product;RAM;15289;51814;Kina overriding alarm;2023-06-12T03:01:35;withdrawal Account;blue
8;Fresh Automotive USB;Planner invoice Handmade;Sports Concrete;time-frame Philippine target;Human Division Ruble;89686;4154;Human;2023-06-11T23:44:54;hack calculating microchip;Soft Designer payment
9;Granite Health Berkshire;Soft;reboot;index;Borders Infrastructure invoice;74106;32627;Lithuania;2023-06-11T16:46:48;Liaison Data;Facilitator
10;TCP;bluetooth Administrator PNG;generate protocol Card;optimize;bypassing;14182;23692;Rupee;2023-06-12T03:19:19;THX Rubber;Borders leverage help-desk
