id;institution;subject;start_year;end_date;education_type;grade;description;employee_id;company_id;status;last_modified;last_modified_by
1;neural Cotton;morph;2023-06-12T00:53:28;2023-06-11T10:57:17;Jersey blue;open-source Gorgeous Saudi;overriding Incredible;50810;90316;Australia Branding;2023-06-12T00:55:43;Director
2;plum 24/365 stable;FTP;2023-06-12T02:25:23;2023-06-12T09:17:08;Home programming;Vermont seize;Berkshire Incredible;97267;19425;Distributed Fantastic;2023-06-11T18:07:39;Massachusetts
3;Sleek;Nebraska PNG;2023-06-11T22:09:19;2023-06-12T07:18:42;Borders Versatile Analyst;Car payment;Accountability Administrator generating;73136;34333;Supervisor;2023-06-11T23:58:23;Ball Money
4;synergistic plum Operative;online Cambridgeshire Car;2023-06-12T00:06:12;2023-06-11T12:38:33;invoice;SQL Tuna;Account;65661;13225;Plastic 1080p;2023-06-12T03:50:16;quantify
5;aggregate Unbranded mobile;Kentucky Steel monitoring;2023-06-11T17:16:06;2023-06-11T14:36:53;digital;Assistant Communications generating;benchmark;46345;52489;capacitor;2023-06-11T21:24:35;Buckinghamshire Buckinghamshire
6;FTP teal Tactics;Money;2023-06-12T08:17:31;2023-06-11T19:01:14;Uganda Pizza Associate;virtual;overriding copy;78507;34807;synthesizing Account Loan;2023-06-11T14:03:21;Martinique feed
7;Orchestrator Industrial;Group Berkshire;2023-06-12T02:44:52;2023-06-11T11:00:20;Soft Tala Lead;plum;Wisconsin Borders;4313;92136;cross-platform blockchains;2023-06-12T01:18:15;Handmade auxiliary Table
8;Market interface;Sleek back-end Rufiyaa;2023-06-12T03:56:31;2023-06-11T11:01:31;Facilitator EXE Forward;Mexico Maryland;payment;73209;94632;Account auxiliary;2023-06-11T17:15:59;calculating
9;Electronics Personal JBOD;Lead;2023-06-12T00:36:47;2023-06-11T10:43:13;Granite Rupee navigating;withdrawal;parse;66128;21895;cross-platform invoice;2023-06-12T06:10:44;virtual connecting circuit
10;calculate Tasty Borders;Benin Extensions online;2023-06-12T07:58:56;2023-06-12T08:12:52;Keyboard Soft Refined;compress dedicated Bedfordshire;synergistic Minnesota Checking;35063;98486;Serbia optical Triple-buffered;2023-06-11T16:03:07;turn-key invoice Dynamic
