id;name;department_id;status;company_id;last_modified;last_modified_by
1;Liaison alarm Market;2507;Account North;33898;2023-06-11T18:36:44;incremental
2;Dollar District;29018;bluetooth set;82499;2023-06-11T17:26:22;parse digital
3;hack Pataca teal;65168;Metal;63054;2023-06-12T04:47:51;Buckinghamshire leading-edge Baby
4;copying Station;56954;front-end Haven;46088;2023-06-11T18:42:28;magenta Pizza Soap
5;plum Inverse;47438;green;11235;2023-06-11T11:25:04;Ergonomic
6;Handmade Intelligent RAM;71049;Cross-platform;17565;2023-06-11T21:59:21;Mobility Fully-configurable up
7;e-business Account schemas;61470;Grove;66791;2023-06-12T08:53:34;hard
8;Checking Rubber;46009;Granite Dynamic;91670;2023-06-12T06:50:25;Concrete
9;data-warehouse;66534;Pizza Manat mesh;35279;2023-06-11T11:42:24;orchestrate Books
10;Jamaica;31140;Loan Lead withdrawal;28652;2023-06-12T00:47:57;adapter
